trend_timestamp,topic_category,country,tweet_volume,mention_count,retweet_count,trend_score,sentiment_index,impressions,engagement_count
01-01-2025,AI,Germany,7215,6657,2080,0.291321526,0.707207868,75188,18402
01-01-2025,AI,India,719,4166,788,0.500161305,0.939740866,67444,40776
01-01-2025,AI,UK,8006,978,4329,0.000606676,0.774677021,82570,23184
01-01-2025,AI,USA,5735,8043,7666,0.515176649,0.232384056,33759,18020
01-01-2025,Cloud,Germany,1158,989,1866,0.500161305,0.045632457,25429,26070
01-01-2025,Cloud,India,2383,4251,1466,0.500161305,0.3954328,79151,34323
01-01-2025,Cloud,UK,4918,4912,7323,0.159225355,0.308726252,62672,46262
01-01-2025,Cloud,USA,3683,8968,4984,0.500161305,0.087467125,62464,23660
01-01-2025,Finance,Germany,5961,7522,5981,0.14264546,0.045472167,51175,5997
01-01-2025,Finance,India,7146,9385,6422,0.455633412,0.540196503,3699,25609
01-01-2025,Finance,UK,2959,4154,4908,0.410282118,0.584157442,26201,27411
01-01-2025,Finance,USA,1628,100,6645,0.500161305,0.96629132,58227,19727
01-01-2025,Sports,Germany,1992,9056,8128,0.400259013,0.369883544,95777,41422
01-01-2025,Sports,India,6859,7743,2575,0.500161305,0.662026702,51175,45696
01-01-2025,Sports,UK,2742,4767,8392,0.640448381,0.333513128,49441,8975
01-01-2025,Sports,USA,498,6956,283,0.421241195,0.067856423,80980,5875
02-01-2025,AI,Germany,3446,8649,7553,0.500161305,0.051183444,1803,39646
02-01-2025,AI,India,2134,6657,7387,0.397060474,0.074091282,92447,6011
02-01-2025,AI,UK,2494,1398,2099,0.500161305,0.459426253,78332,18677
02-01-2025,AI,USA,7126,3526,4157,0.500161305,0.232663805,56001,24886
02-01-2025,Cloud,Germany,5307,6328,6609,0.363393822,0.398522,10753,5787
02-01-2025,Cloud,India,1435,4999,6064,0.69583103,0.755321108,96765,49751
02-01-2025,Cloud,UK,7829,8475,8345,0.500161305,0.961408988,76905,21135
02-01-2025,Cloud,USA,8899,6328,9284,0.500161305,0.711781332,54211,20516
02-01-2025,Finance,Germany,9936,5329,8199,0.746544607,0.504272069,62276,23798
02-01-2025,Finance,India,8361,7821,419,0.221034393,0.031463643,91972,31135
02-01-2025,Finance,UK,9088,9342,3665,0.610710419,0.53175511,48272,27348
02-01-2025,Finance,USA,317,9642,8226,0.870510593,0.233174504,76226,43689
02-01-2025,Sports,Germany,7462,4695,1003,0.500161305,0.242325441,10803,37793
02-01-2025,Sports,India,9171,2485,847,0.500161305,0.170022652,45912,46409
02-01-2025,Sports,UK,5067,7887,459,0.500161305,0.618936756,84867,1746
02-01-2025,Sports,USA,5067,3734,7108,0.500161305,0.660493711,93949,6089
03-01-2025,AI,Germany,2679,1823,7986,0.339458095,0.93933886,58317,10186
03-01-2025,AI,India,5327,3176,2691,0.500161305,0.888047576,97258,19959
03-01-2025,AI,UK,812,7435,5613,0.500161305,0.792346128,62064,5555
03-01-2025,AI,USA,9804,5959,6416,0.500161305,0.900022934,46242,30628
03-01-2025,Cloud,Germany,5210,2576,1886,0.650261803,0.398331346,79401,37928
03-01-2025,Cloud,India,1197,2838,3088,0.500161305,0.796449362,51175,28868
03-01-2025,Cloud,UK,8439,1209,7520,0.500161305,0.875078886,25413,18540
03-01-2025,Cloud,USA,3930,9003,4592,0.500161305,0.422347035,80937,17848
03-01-2025,Finance,Germany,1135,5910,6332,0.500161305,0.972352796,98283,16811
03-01-2025,Finance,India,6680,1143,5019,0.786068544,0.063280838,92881,29188
03-01-2025,Finance,UK,2918,4308,4481,0.43132573,0.458767831,44489,28177
03-01-2025,Finance,USA,9200,9291,5395,0.663794051,0.204282159,98043,27934
03-01-2025,Sports,Germany,114,3707,4984,0.545699051,0.556436211,59032,23006
03-01-2025,Sports,India,4179,5262,7209,0.274925342,0.588753125,16003,18208
03-01-2025,Sports,UK,1001,2482,886,0.456108903,0.421869759,6495,22118
03-01-2025,Sports,USA,9331,5773,3562,0.500161305,0.504272069,30676,31781
04-01-2025,AI,Germany,9225,4326,9345,0.754910164,0.647330658,54073,10945
04-01-2025,AI,India,2246,2481,5655,0.35567675,0.647560642,22841,17893
04-01-2025,AI,UK,3288,2517,2866,0.307106646,0.383651156,49211,27848
04-01-2025,AI,USA,9417,4529,4444,0.500161305,0.612422337,42020,20715
04-01-2025,Cloud,Germany,9472,1595,5436,0.690961881,0.525014603,64935,18170
04-01-2025,Cloud,India,470,5740,3763,0.52243143,0.100578899,41954,10032
04-01-2025,Cloud,UK,3080,6952,2755,0.500161305,0.835723995,96898,12845
04-01-2025,Cloud,USA,7914,2086,7096,0.342998779,0.370815562,64400,5301
04-01-2025,Finance,Germany,3405,2969,6233,0.228989422,0.378747284,43518,5804
04-01-2025,Finance,India,1884,1817,4241,0.689115995,0.504272069,66278,42851
04-01-2025,Finance,UK,5328,7776,5914,0.585463393,0.352648017,91254,13551
04-01-2025,Finance,USA,3992,6042,5839,0.500161305,0.914792615,74779,47894
04-01-2025,Sports,Germany,6869,4767,3147,0.851503925,0.277036997,44683,28105
04-01-2025,Sports,India,9027,8363,9569,0.726309293,0.504272069,58440,36830
04-01-2025,Sports,UK,9359,6691,708,0.500161305,0.509963094,60995,4782
04-01-2025,Sports,USA,9789,7136,2396,0.500161305,0.018598219,64016,38720
05-01-2025,AI,Germany,4422,4786,4984,0.417275268,0.504272069,27103,37025
05-01-2025,AI,India,5784,2423,5901,0.500161305,0.783597432,51646,12751
05-01-2025,AI,UK,1055,8192,7900,0.500161305,0.980193393,28338,29829
05-01-2025,AI,USA,5281,8209,3627,0.943608445,0.981510973,16432,34087
05-01-2025,Cloud,Germany,1244,9827,5813,0.500161305,0.57927291,36094,31179
05-01-2025,Cloud,India,9426,7448,9444,0.605029238,0.918782835,5289,36004
05-01-2025,Cloud,UK,3256,1415,5561,0.500161305,0.12287691,99653,18450
05-01-2025,Cloud,USA,8984,8936,591,0.668720176,0.557313942,38721,25770
05-01-2025,Finance,Germany,9642,1313,2473,0.931534907,0.118338512,2495,25609
05-01-2025,Finance,India,8818,8335,325,0.017001151,0.017062328,89532,22262
05-01-2025,Finance,UK,469,9882,3178,0.500161305,0.16589025,35789,25609
05-01-2025,Finance,USA,4682,4999,9422,0.594029689,0.14121477,7752,37449
05-01-2025,Sports,Germany,5032,2303,4102,0.500161305,0.488068778,76387,38561
05-01-2025,Sports,India,3644,8738,5045,0.500161305,0.949421151,97431,14751
05-01-2025,Sports,UK,2422,9759,1752,0.500161305,0.408002865,27374,48938
05-01-2025,Sports,USA,5746,4647,4984,0.599250467,0.270821747,69387,37208
06-01-2025,AI,Germany,367,8191,8080,0.966620188,0.824616845,95085,11491
06-01-2025,AI,India,2193,4325,1029,0.991942164,0.562701073,60214,45209
06-01-2025,AI,UK,5649,820,8733,0.500161305,0.423941932,88402,8780
06-01-2025,AI,USA,932,7989,8267,0.20129792,0.990509389,93450,33235
06-01-2025,Cloud,Germany,7781,511,3846,0.82239959,0.374078078,54735,2150
