tweet_id,topic_category,tweet_timestamp,sentiment_score,positive_score,negative_score,neutral_score,impressions,likes,engagement_count
T10001,Sports,2025-01-15T19:19:00.000Z,0.027896068,0.05241241,0.528418524,0.336128713,17852,3555,253
T10002,Sports,2025-01-09T19:55:00.000Z,0.500796855,0.829323914,0.857350911,0.504428297,5256,701,912
T10004,Sports,2025-01-09T12:12:00.000Z,0.500796855,0.671444643,0.96492612,0.219430591,10940,185,109
T10033,Sports,2025-01-06T14:45:00.000Z,0.549152139,0.848443395,0.966686371,0.765480119,13193,2449,30
T10040,Finance,2025-01-08T11:42:00.000Z,0.380838216,0.290473948,0.2817066,0.558391393,13686,4267,331
T10047,Finance,2025-01-02T01:56:00.000Z,0.500796855,0.49738816,0.896819542,0.374818505,14824,4950,128
T10048,AI,2025-01-20T19:57:00.000Z,0.624113746,0.04378172,0.3769445,0.829103374,10026,2494,501
T10050,Cloud,2025-01-13T16:12:00.000Z,0.500796855,0.708174527,0.681662855,0.766808373,4555,3558,501
T10055,AI,2025-01-19T23:02:00.000Z,0.258052617,0.087712591,0.758541357,0.859933581,12679,2122,138
T10059,Cloud,2025-01-14T10:29:00.000Z,0.500796855,0.715404873,0.492344545,0.514045894,14174,4258,64
T10076,Finance,2025-01-01T21:31:00.000Z,0.868155102,0.241881061,0.226108874,0.037356688,10130,3284,501
T10080,Cloud,2025-01-10T12:52:00.000Z,0.500796855,0.07700562,0.446399626,0.235297169,11059,438,7
T10096,AI,2025-01-01T21:22:00.000Z,0.500796855,0.900782185,0.535672558,0.719582424,13046,2786,928
T10101,AI,2025-01-19T16:44:00.000Z,0.500796855,0.032082258,0.901135035,0.745966535,8868,4945,770
T10124,AI,2025-01-06T21:39:00.000Z,0.625853489,0.738994779,0.566586255,0.877343872,4589,91,501
T10133,Cloud,2025-01-01T14:49:00.000Z,0.500796855,0.470588329,0.926927009,0.079824292,16075,325,396
T10141,AI,2025-01-05T13:48:00.000Z,0.500796855,0.382265638,0.621974225,0.810666991,7555,2979,534
T10145,Finance,2025-01-02T21:36:00.000Z,0.510109139,0.661233912,0.310101175,0.608246019,19539,1381,160
T10153,Finance,2025-01-15T01:33:00.000Z,0.500796855,0.765081401,0.305209047,0.763608907,11768,1185,954
T10160,Finance,2025-01-07T00:02:00.000Z,0.610478637,0.001444421,0.867716013,0.909488946,16094,1184,688
T1017,AI,2025-01-19T07:07:00.000Z,0.500796855,0.173378631,0.438444407,0.237084484,3324,128,501
T10173,Cloud,2025-01-11T22:37:00.000Z,0.500796855,0.844326041,0.320529027,0.009407651,13925,3375,930
T10177,Finance,2025-01-23T00:18:00.000Z,0.500796855,0.078686561,0.913847481,0.732253446,19623,2100,439
T10186,AI,2025-01-03T21:55:00.000Z,0.500796855,0.591310608,0.139104664,0.094241758,784,2967,875
T10189,Finance,2025-01-23T23:50:00.000Z,0.500796855,0.555525564,0.135164278,0.812937421,4291,1415,230
T1020,Sports,2025-01-05T00:57:00.000Z,0.90305173,0.211470747,0.565147079,0.584927385,10130,129,541
T10202,AI,2025-01-14T08:09:00.000Z,0.429615879,0.061094714,0.884207719,0.957773429,13416,1971,986
T10204,Sports,2025-01-16T22:41:00.000Z,0.533548045,0.32833738,0.818592713,0.630778886,16598,2052,364
T10205,Finance,2025-01-10T11:02:00.000Z,0.470742954,0.585659153,0.800259748,0.161192315,14171,3249,16
T10211,Sports,2025-01-16T18:04:00.000Z,0.65581265,0.398218574,0.030175887,0.344660372,5920,3906,501
T10220,Sports,2025-01-14T16:36:00.000Z,0.500796855,0.472246063,0.532813044,0.992871283,8076,238,445
T10232,Cloud,2025-01-15T15:13:00.000Z,0.179541887,0.310137964,0.857952208,0.390527289,14796,3182,172
T10241,Sports,2025-01-07T21:23:00.000Z,0.044109522,0.50240542,0.492344545,0.930074982,7634,1650,796
T10245,AI,2025-01-04T23:31:00.000Z,0.121114652,0.183403577,0.133463052,0.59756903,11610,928,450
T10251,Cloud,2025-01-02T18:16:00.000Z,0.50776044,0.746730843,0.254833328,0.832689152,11244,869,501
T10273,AI,2025-01-22T10:12:00.000Z,0.500796855,0.854163126,0.095444851,0.246458026,12595,2716,850
T10289,Sports,2025-01-13T09:56:00.000Z,0.500796855,0.436214546,0.655898902,0.873800985,18887,3393,78
T10304,Cloud,2025-01-16T05:51:00.000Z,0.500796855,0.283197601,0.253929624,0.686647722,19764,3621,277
T10305,Cloud,2025-01-20T12:38:00.000Z,0.911652152,0.430401821,0.542366452,0.775515896,8998,4653,56
T10311,Finance,2025-01-12T09:34:00.000Z,0.500796855,0.062215835,0.47869064,0.292796544,9380,1262,535
T10317,Sports,2025-01-08T20:30:00.000Z,0.011056542,0.104596774,0.808987286,0.983256951,8463,2494,4
T10324,Finance,2025-01-18T03:52:00.000Z,0.784007675,0.813017996,0.386075214,0.869723228,13642,995,684
T10338,AI,2025-01-11T17:25:00.000Z,0.210926358,0.256600877,0.855297656,0.376448406,1428,4870,798
T10352,Sports,2025-01-09T04:19:00.000Z,0.827953115,0.668467805,0.152364352,0.448263601,12792,1733,467
T10361,Finance,2025-01-19T23:04:00.000Z,0.500796855,0.548774852,0.906525,0.650867491,16222,2445,310
T10393,Cloud,2025-01-10T08:22:00.000Z,0.500796855,0.427775224,0.531773481,0.843673435,11619,3865,299
T10394,Sports,2025-01-19T13:45:00.000Z,0.651381186,0.045655335,0.560658637,0.830630817,16437,304,497
