tweet_id,user_id,tweet_text,timestamp,timestamp.1,likes,retweets,replies,impressions,engagement
T10004,4747,Testing!!!@@@###,ios,2025-01-09T00:10:00.000Z,961,3349,907,2872,1020
T10008,9484,Great product!!! #AI,ios,2025-01-14T23:59:00.000Z,16598,539,730,684,1540
T10012,2769,Good & Bad mixed!!!,api,2025-01-02T15:59:00.000Z,18195,1486,388,1937,641
T10013,2240,Streaming $$$ working,ios,2025-01-10T18:48:00.000Z,4220,1168,8,292,1552
T10016,4445,Spark > Hadoop ???,ios,2025-01-12T21:22:00.000Z,1021,1398,399,1276,484
T10021,3603,Data pipeline broke @ midnight!!!,web,2025-01-12T12:11:00.000Z,8172,3030,298,1025,864
T10022,4673,Love this!!! 😊,api,2025-01-04T17:48:00.000Z,19090,2907,456,1968,1935
T10032,5749,Good & Bad mixed!!!,unknown,2025-01-05T20:41:00.000Z,46,4557,207,1609,787
T10034,2178,Null?? value??,android,2025-01-19T12:19:00.000Z,7161,3123,648,213,730
T10046,1735,Testing!!!@@@###,android,2025-01-07T11:34:00.000Z,10766,1058,13,2463,230
T10071,4858,Testing!!!@@@###,ios,2025-01-19T23:06:00.000Z,11503,916,955,2267,1934
T10105,8515,Testing!!!@@@###,api,2025-01-20T17:02:00.000Z,4264,4442,838,1658,260
T10115,9565,Good & Bad mixed!!!,ios,2025-01-18T04:59:00.000Z,19315,3746,758,611,1436
T10116,3510,Great product!!! #AI,api,2025-01-21T17:09:00.000Z,7186,945,128,1487,1188
T10144,2807,Worst service ever :(,ios,2025-01-18T05:04:00.000Z,10027,3929,654,410,1314
T10146,6359,Streaming $$$ working,api,2025-01-07T13:13:00.000Z,7164,1844,419,628,807
T10165,7482,Worst service ever :(,web,2025-01-01T20:21:00.000Z,4391,3274,16,1487,1351
T1017,6729,Null?? value??,api,2025-01-23T13:21:00.000Z,10961,924,500,1202,1259
T10179,2982,Streaming $$$ working,api,2025-01-13T19:16:00.000Z,1677,429,571,1232,530
T1019,4264,Worst service ever :(,ios,2025-01-15T22:25:00.000Z,5362,4383,307,2022,1892
T10202,8853,Spark > Hadoop ???,android,2025-01-01T21:20:00.000Z,18648,2471,265,1356,1001
T10205,2178,Worst service ever :(,web,2025-01-15T22:39:00.000Z,7839,2863,775,2732,1527
T10220,3968,Streaming $$$ working,web,2025-01-21T16:45:00.000Z,810,1437,595,2364,1260
T10222,3280,Error###Detected,api,2025-01-16T00:14:00.000Z,10237,416,652,2310,1532
T10228,2242,Great product!!! #AI,android,2025-01-02T15:29:00.000Z,8593,2471,83,1912,756
T10238,7299,Good & Bad mixed!!!,web,2025-01-08T14:47:00.000Z,5584,4158,106,1319,1949
T10242,8418,Testing!!!@@@###,api,2025-01-22T00:39:00.000Z,5841,3002,726,323,951
T10258,9889,Love this!!! 😊,api,2025-01-11T13:28:00.000Z,5792,4467,308,2210,695
T10269,4544,Data pipeline broke @ midnight!!!,web,2025-01-15T17:59:00.000Z,5785,2010,400,2341,361
T1029,8118,Data pipeline broke @ midnight!!!,ios,2025-01-20T00:05:00.000Z,5541,93,202,2395,1363
T10306,7201,Good & Bad mixed!!!,ios,2025-01-01T05:34:00.000Z,12533,3818,593,761,747
T1031,2654,Testing!!!@@@###,api,2025-01-21T08:40:00.000Z,17002,2583,738,1820,850
T10318,8965,Error###Detected,web,2025-01-23T03:55:00.000Z,14388,1410,705,2460,183
T1033,6746,Love this!!! 😊,web,2025-01-14T18:36:00.000Z,10027,2471,886,317,1983
T10368,7164,Great product!!! #AI,ios,2025-01-22T22:23:00.000Z,9015,2317,31,2832,1999
T10371,2206,Worst service ever :(,api,2025-01-17T20:42:00.000Z,10027,4143,2,1798,1425
T10373,4036,Good & Bad mixed!!!,android,2025-01-15T17:35:00.000Z,4435,263,536,2191,163
T10375,2369,Spark > Hadoop ???,android,2025-01-21T17:45:00.000Z,6235,3055,574,837,1464
T10393,9937,Spark > Hadoop ???,api,2025-01-21T17:41:00.000Z,10027,700,492,2117,1655
T10397,8431,Worst service ever :(,android,2025-01-08T12:00:00.000Z,5544,292,442,1759,432
T104,4805,Worst service ever :(,ios,2025-01-23T18:26:00.000Z,1446,3970,46,1681,312
T10402,2708,Testing!!!@@@###,api,2025-01-06T00:48:00.000Z,12852,4609,124,1079,1949
T10419,7980,Worst service ever :(,ios,2025-01-14T16:23:00.000Z,10027,3035,373,1820,174
T10429,7945,Love this!!! 😊,web,2025-01-06T21:31:00.000Z,14671,4197,781,2760,700
T1043,5728,Good & Bad mixed!!!,android,2025-01-23T13:39:00.000Z,5737,2685,46,212,1784
T10447,8592,Streaming $$$ working,ios,2025-01-02T05:59:00.000Z,18793,2217,116,766,1001
T10448,8160,Worst service ever :(,api,2025-01-09T23:43:00.000Z,6656,2012,114,1845,1671
T10449,4492,Worst service ever :(,web,2025-01-22T01:10:00.000Z,954,2337,492,253,1099
T10454,4942,Great product!!! #AI,ios,2025-01-05T18:01:00.000Z,12877,2933,507,1487,382
T10456,6422,Streaming $$$ working,api,2025-01-07T21:52:00.000Z,13113,52,432,2819,857
T10459,9311,Love this!!! 😊,ios,2025-01-20T16:24:00.000Z,3068,1257,674,625,1066
T10470,2384,Error###Detected,android,2025-01-16T23:14:00.000Z,19450,37,908,1855,1140
T10474,8096,Great product!!! #AI,ios,2025-01-11T16:35:00.000Z,12750,4172,864,1492,1500
T10475,3711,Testing!!!@@@###,ios,2025-01-02T00:09:00.000Z,10152,880,213,828,1366
T10483,4176,Good & Bad mixed!!!,web,2025-01-12T16:01:34.000Z,8329,3131,719,2832,2
T10503,4419,Streaming $$$ working,web,2025-01-22T20:03:00.000Z,11380,178,700,2230,1001
T10514,5575,Great product!!! #AI,web,2025-01-05T06:49:00.000Z,10869,4660,701,2004,169
T10526,6179,Love this!!! 😊,ios,2025-01-19T18:49:00.000Z,8530,142,588,1366,537
T10531,8574,Love this!!! 😊,android,2025-01-21T14:21:00.000Z,19097,726,268,2120,1431
T10533,3994,Good & Bad mixed!!!,api,2025-01-03T22:37:00.000Z,17359,3171,948,1853,1806
T10543,7888,Great product!!! #AI,api,2025-01-14T18:44:00.000Z,5542,560,326,2404,893
T10549,6569,Spark > Hadoop ???,web,2025-01-18T15:21:00.000Z,3834,4479,928,903,924
T10552,5962,Streaming $$$ working,api,2025-01-05T10:21:00.000Z,3493,3963,569,71,42
T10563,1609,Spark > Hadoop ???,ios,2025-01-09T18:47:00.000Z,19464,2644,725,984,1351
T10585,1266,Testing!!!@@@###,android,2025-01-04T04:21:00.000Z,16964,3518,543,2007,638
T10591,4357,Null?? value??,android,2025-01-06T12:42:00.000Z,1708,4593,255,853,885
T10601,7413,Worst service ever :(,api,2025-01-06T16:42:00.000Z,1566,3145,433,293,451
T10603,8178,Testing!!!@@@###,api,2025-01-03T14:10:00.000Z,4163,674,800,2449,692
T10610,8261,Testing!!!@@@###,api,2025-01-06T13:14:00.000Z,15677,1754,667,1286,1133
T10612,1758,Data pipeline broke @ midnight!!!,api,2025-01-18T19:54:00.000Z,18797,3285,175,1955,1442
T10621,6007,Error###Detected,web,2025-01-11T15:03:00.000Z,12568,4633,895,1176,528
T10630,9308,Null?? value??,web,2025-01-03T10:21:00.000Z,2289,397,612,2028,582
T10644,8884,Data pipeline broke @ midnight!!!,android,2025-01-18T04:37:00.000Z,4159,3608,593,276,1001
T10648,8164,Error###Detected,web,2025-01-20T19:29:00.000Z,19357,1105,59,988,166
T10700,9396,Great product!!! #AI,web,2025-01-22T05:25:00.000Z,18841,960,901,2003,1480
T10718,1907,Null?? value??,android,2025-01-02T07:24:00.000Z,11797,2557,721,299,721
T10721,6829,Spark > Hadoop ???,ios,2025-01-03T11:51:00.000Z,3073,3062,974,385,1395
T10724,4036,Great product!!! #AI,api,2025-01-01T09:26:00.000Z,2843,2813,314,534,1647
T10735,7664,Love this!!! 😊,unknown,2025-01-14T14:53:00.000Z,5581,2266,408,1061,1634
T10743,7218,Great product!!! #AI,web,2025-01-08T12:58:00.000Z,14426,3350,225,793,1462
T10751,8527,Great product!!! #AI,android,2025-01-11T15:52:00.000Z,17848,3794,770,861,635
